title,price,link,model,category,storage,average_price,median_price
Apple iPhone 11 64 GB svart,1600,https://www.finn.no/recommerce/forsale/item/442222119,iPhone 11,Regular,64GB,1379.80,1400.00
iPhone 11,1000,https://www.finn.no/recommerce/forsale/item/442182904,iPhone 11,Regular,Unknown,1430.00,1000.00
iPhone 11 - 128 GB - 88%🔋,1750,https://www.finn.no/recommerce/forsale/item/442211014,iPhone 11,Regular,128GB,1625.00,1625.00
iPhone 11 Pro Max,1950,https://www.finn.no/recommerce/forsale/item/442210350,iPhone 11,Pro Max,Unknown,1950.00,1950.00
Apple iPhone 11 mobiltelefon 128 GB svart,1500,https://www.finn.no/recommerce/forsale/item/442222433,iPhone 11,Regular,128GB,1625.00,1625.00
iPhone 11,800,https://www.finn.no/recommerce/forsale/item/442196882,iPhone 11,Regular,Unknown,1430.00,1000.00
Apple iPhone 12 mobiltelefon 128 GB svart,1899,https://www.finn.no/recommerce/forsale/item/442211262,iPhone 12,Regular,128GB,1999.75,1999.50
"Apple iPhone 12, 64 GB mobiltelefon",2000,https://www.finn.no/recommerce/forsale/item/442213382,iPhone 12,Regular,64GB,1933.33,2000.00
Billig iPhone 13 128gb,2200,https://www.finn.no/recommerce/forsale/item/431064502,iPhone 13,Regular,128GB,2345.00,2345.00
iPhone 11 Pro. 256 GB. Sølv. Batteri 78%.,2500,https://www.finn.no/recommerce/forsale/item/400263516,iPhone 11,Pro,256GB,2500.00,2500.00
iPhone 13 128GB – pent brukt – 84 % batteri med masse tilbehør 💙,2490,https://www.finn.no/recommerce/forsale/item/442227667,iPhone 13,Regular,128GB,2345.00,2345.00
Apple iPhone 12 mini 128 GB 100% batteri!,2500,https://www.finn.no/recommerce/forsale/item/442220947,iPhone 12,Regular,128GB,1999.75,1999.50
Godt brukt iPhone 12 pro med knust skjerm,1500,https://www.finn.no/recommerce/forsale/item/442192260,iPhone 12,Pro,Unknown,1575.00,1575.00
Apple iPhone 12 mobiltelefon 128 GB svart,1500,https://www.finn.no/recommerce/forsale/item/442208306,iPhone 12,Regular,128GB,1999.75,1999.50
Apple iPhone 11 64 GB,1400,https://www.finn.no/recommerce/forsale/item/442176108,iPhone 11,Regular,64GB,1379.80,1400.00
iPhone 11 64GB,999,https://www.finn.no/recommerce/forsale/item/442171078,iPhone 11,Regular,64GB,1379.80,1400.00
Nesten NY iPhone 11 med garanti,2490,https://www.finn.no/bap/webstore/ad.html?finnkode=338449540,iPhone 11,Regular,Unknown,1430.00,1000.00
iPhone 12 mini,1100,https://www.finn.no/recommerce/forsale/item/442199225,iPhone 12,Regular,Unknown,1100.00,1100.00
iPhone 14 Pro,1999,https://www.finn.no/recommerce/forsale/item/442186294,iPhone 14,Pro,Unknown,1999.00,1999.00
iPhone 12 Pro Max,2500,https://www.finn.no/recommerce/forsale/item/442175792,iPhone 12,Pro Max,Unknown,2500.00,2500.00
Apple iPhone 12 Pro mobiltelefon 64 GB,1200,https://www.finn.no/recommerce/forsale/item/442186368,iPhone 12,Pro,64GB,1200.00,1200.00
Apple iPhone 12 mini 256 GB svart,1700,https://www.finn.no/recommerce/forsale/item/442187858,iPhone 12,Regular,256GB,1700.00,1700.00
Apple iPhone 14 Pro 256 GB 85%🔋,2200,https://www.finn.no/recommerce/forsale/item/442177965,iPhone 14,Pro,256GB,3600.00,2200.00
Apple iPhone 11 64 GB smarttelefon,1400,https://www.finn.no/recommerce/forsale/item/442159149,iPhone 11,Regular,64GB,1379.80,1400.00
Bytt bakglasset IPhone 12 til iPhone 16 pro max.?? til lav pris%.,750,https://www.finn.no/bap/webstore/ad.html?finnkode=441740403,Unknown,Pro Max,Unknown,13310.00,16750.00
Apple iPhone 12 Mini 64 GB Svart,2000,https://www.finn.no/recommerce/forsale/item/432359751,iPhone 12,Regular,64GB,1933.33,2000.00
Apple iPhone 11 64 GB,1500,https://www.finn.no/recommerce/forsale/item/442143407,iPhone 11,Regular,64GB,1379.80,1400.00
Apple iPhone 12 Pro mobiltelefon,1650,https://www.finn.no/recommerce/forsale/item/442151700,iPhone 12,Pro,Unknown,1575.00,1575.00
Apple iPhone 14 Pro mobiltelefon 256 GB,2100,https://www.finn.no/recommerce/forsale/item/442175782,iPhone 14,Pro,256GB,3600.00,2200.00
Apple iPhone 12 128 GB smarttelefon hvit,2100,https://www.finn.no/recommerce/forsale/item/442177774,iPhone 12,Regular,128GB,1999.75,1999.50
Apple iPhone 12 mini 64 GB blå,1800,https://www.finn.no/recommerce/forsale/item/442173153,iPhone 12,Regular,64GB,1933.33,2000.00
Apple iPhone 15 Pro 128 GB. Og iphone 13 pro 128gb kvit batteri 90%,6500,https://www.finn.no/recommerce/forsale/item/441898286,iPhone 15,Pro,128GB,6500.00,6500.00
Apple iPhone 15 Pro 128 GB,6500,https://www.finn.no/recommerce/forsale/item/442219604,iPhone 15,Pro,128GB,6500.00,6500.00
Apple iPhone 14 Pro Max 128 GB,6500,https://www.finn.no/recommerce/forsale/item/442211691,iPhone 14,Pro Max,128GB,6500.00,6500.00
Apple iPhone 15 Pro mobiltelefon 128 GB,6500,https://www.finn.no/recommerce/forsale/item/442167821,iPhone 15,Pro,128GB,6500.00,6500.00
Apple iPhone 16 Pro 256 GB mobiltelefon,6500,https://www.finn.no/recommerce/forsale/item/442110347,Unknown,Pro,256GB,6500.00,6500.00
Apple iPhone 15 Pro  128 GB,6500,https://www.finn.no/recommerce/forsale/item/442167081,iPhone 15,Pro,128GB,6500.00,6500.00
iPhone 16 Plus,6500,https://www.finn.no/recommerce/forsale/item/442105361,Unknown,Regular,Unknown,6500.00,6500.00
Apple iPhone 15 pro Max 256 GB,6500,https://www.finn.no/recommerce/forsale/item/442056060,iPhone 15,Pro Max,256GB,6500.00,6500.00
Apple iPhone 16 Pro Max 256 GB,6500,https://www.finn.no/recommerce/forsale/item/442043611,Unknown,Pro Max,256GB,9000.00,9000.00
iPhone 14 Pro 256 GB 100% Batteri!,6500,https://www.finn.no/recommerce/forsale/item/442055451,iPhone 14,Pro,256GB,3600.00,2200.00
Apple iPhone 15 Pro 128 GB,6500,https://www.finn.no/recommerce/forsale/item/442032562,iPhone 15,Pro,128GB,6500.00,6500.00
iPhone 14 Pro Max 256GB,6500,https://www.finn.no/recommerce/forsale/item/441956659,iPhone 14,Pro Max,256GB,6500.00,6500.00
Apple iPhone 15 Pro 128 GB. Og iphone 13 pro 128gb kvit batteri 90%,6500,https://www.finn.no/recommerce/forsale/item/441898286,iPhone 15,Pro,128GB,6500.00,6500.00
"iPhone 14 pro Max 128GB s. kr 6500,-",6500,https://www.finn.no/recommerce/forsale/item/441916236,iPhone 14,Pro Max,128GB,6500.00,6500.00
iPhone 14 Pro Max 128GB Deep Purple | 94% Batteri,6500,https://www.finn.no/recommerce/forsale/item/441885333,iPhone 14,Pro Max,128GB,6500.00,6500.00
Apple iPhone 15 Pro Max 256 GB - RESERVERT!,6500,https://www.finn.no/recommerce/forsale/item/441849643,iPhone 15,Pro Max,256GB,6500.00,6500.00
iPhone 14 Pro 512GB Lilla,6500,https://www.finn.no/recommerce/forsale/item/385934699,iPhone 14,Pro,512GB,6500.00,6500.00
Apple iPhone 15 Pro 256 GB,6500,https://www.finn.no/recommerce/forsale/item/441784229,iPhone 15,Pro,256GB,6500.00,6500.00
Apple iPhone 15 Pro 128 GB,6500,https://www.finn.no/recommerce/forsale/item/441739944,iPhone 15,Pro,128GB,6500.00,6500.00
Apple iPhone 14 Pro 128 GB Hvit,6500,https://www.finn.no/recommerce/forsale/item/441742185,iPhone 14,Pro,128GB,6500.00,6500.00
Apple iPhone 15 pro 256,6500,https://www.finn.no/recommerce/forsale/item/441718309,iPhone 15,Pro,Unknown,6500.00,6500.00
iPhone 14 Pro Max 128 GB Selges,6500,https://www.finn.no/recommerce/forsale/item/441728749,iPhone 14,Pro Max,128GB,6500.00,6500.00
iPhone 14 Pro 128gb - 100% batteritilstand - 6 måneders garanti,6500,https://www.finn.no/bap/webstore/ad.html?finnkode=441582625,iPhone 14,Pro,128GB,6500.00,6500.00
Apple iPhone 15 Plus - blå,6500,https://www.finn.no/recommerce/forsale/item/441513576,iPhone 15,Regular,Unknown,6500.00,6500.00
Apple iPhone 14 Pro Mobiltelefon 128 GB,6500,https://www.finn.no/recommerce/forsale/item/431784630,iPhone 14,Pro,128GB,6500.00,6500.00
Apple iPhone 15 Pro 256 GB,6500,https://www.finn.no/recommerce/forsale/item/441379672,iPhone 15,Pro,256GB,6500.00,6500.00
"iPhone 15 Pro, 256G, Hvit",6500,https://www.finn.no/recommerce/forsale/item/441207391,iPhone 15,Pro,Unknown,6500.00,6500.00
Apple iPhone 15 Pro 128 GB,6500,https://www.finn.no/recommerce/forsale/item/441139197,iPhone 15,Pro,128GB,6500.00,6500.00
Apple iPhone 15 128 GB svart,6500,https://www.finn.no/recommerce/forsale/item/441127264,iPhone 15,Regular,128GB,6500.00,6500.00
iPhone 14 Pro Max 256GB – pent brukt – normal funksjon innendørs,6500,https://www.finn.no/recommerce/forsale/item/441146230,iPhone 14,Pro Max,256GB,6500.00,6500.00
iPhone 15 Pro 128GB,6500,https://www.finn.no/recommerce/forsale/item/440822394,iPhone 15,Pro,128GB,6500.00,6500.00
"Strøken iPhone 15 Pro, Blue Titanium, 128GB",6500,https://www.finn.no/recommerce/forsale/item/440828309,iPhone 15,Pro,128GB,6500.00,6500.00
Apple iPhone 14 Pro Max 512 GB,6500,https://www.finn.no/recommerce/forsale/item/440826329,iPhone 14,Pro Max,512GB,6500.00,6500.00
iPhone 13 Pro 256gb,6500,https://www.finn.no/recommerce/forsale/item/440718724,iPhone 13,Pro,256GB,6500.00,6500.00
iPhone 14 PRO MAX,6500,https://www.finn.no/recommerce/forsale/item/440567355,iPhone 14,Pro Max,Unknown,6500.00,6500.00
Apple iPhone 15 Pro 256 GB svart,6500,https://www.finn.no/recommerce/forsale/item/440462450,iPhone 15,Pro,256GB,6500.00,6500.00
iPhone 14 Plus 256 GB – Strålende stand! (Starlight) Perfekt julegave 🎁,6500,https://www.finn.no/recommerce/forsale/item/440403677,iPhone 14,Regular,256GB,6500.00,6500.00
Apple iPhone 15 128 GB mobiltelefon svart,6500,https://www.finn.no/recommerce/forsale/item/440308720,iPhone 15,Regular,128GB,6500.00,6500.00
iPhone 15 Pro – 256 GB – Raw Titanium,6500,https://www.finn.no/recommerce/forsale/item/440277668,iPhone 15,Pro,256GB,6500.00,6500.00
Apple iPhone 14 Pro Max 512 GB STRØKEN!,6500,https://www.finn.no/recommerce/forsale/item/440121160,iPhone 14,Pro Max,512GB,6500.00,6500.00
Apple iPhone 15 Pro mobiltelefon 128 GB,6500,https://www.finn.no/recommerce/forsale/item/440003685,iPhone 15,Pro,128GB,6500.00,6500.00
Apple iPhone 14 Pro Max 512 GB,6500,https://www.finn.no/recommerce/forsale/item/439918963,iPhone 14,Pro Max,512GB,6500.00,6500.00
Apple iPhone 14 Pro 128 GB mobiltelefon,6500,https://www.finn.no/recommerce/forsale/item/439748523,iPhone 14,Pro,128GB,6500.00,6500.00
Apple iPhone 15 Plus 256 GB,6500,https://www.finn.no/recommerce/forsale/item/439693683,iPhone 15,Regular,256GB,6500.00,6500.00
iPhone 14 Pro Max 128GB,6500,https://www.finn.no/recommerce/forsale/item/439662366,iPhone 14,Pro Max,128GB,6500.00,6500.00
Apple iPhone 16 Pro Max 256 GB,11500,https://www.finn.no/recommerce/forsale/item/441443406,Unknown,Pro Max,256GB,9000.00,9000.00
Apple iPhone 16 Pro Max 1 TB white titanium,18990,https://www.finn.no/recommerce/forsale/item/440079268,Unknown,Pro Max,Unknown,13310.00,16750.00
iPhone 16 Pro Max – 512 GB – Som ny!,17500,https://www.finn.no/recommerce/forsale/item/437129571,Unknown,Pro Max,512GB,17500.00,17500.00
NY forseglet iPhone 16 pro 512 GB desert titanium uåpnet,17500,https://www.finn.no/recommerce/forsale/item/437287877,Unknown,Pro,512GB,17500.00,17500.00
Helt ny og uåpnet Apple iPhone 16 Pro Max 1 TB,17000,https://www.finn.no/recommerce/forsale/item/437144605,Unknown,Pro Max,Unknown,13310.00,16750.00
iPhone 15 Pro Max 5G 1TB Hvit Titan,17000,https://www.finn.no/recommerce/forsale/item/434505477,iPhone 15,Pro Max,Unknown,17000.00,17000.00
Apple iPhone 16 Pro Mobiltelefon 1 TB Svart,16500,https://www.finn.no/recommerce/forsale/item/432458924,Unknown,Pro,Unknown,16500.00,16500.00
"Som ny Apple iPhone 16 Pro Max 1 TB, svart titan",16500,https://www.finn.no/recommerce/forsale/item/441793060,Unknown,Pro Max,Unknown,13310.00,16750.00
