title,price,link,category,storage,average_price,median_price
iPhone 12 64GB,2500,https://www.finn.no/recommerce/forsale/item/374865462,Regular,64GB,2477.22,2500.00
iPhone 11pro,2300,https://www.finn.no/recommerce/forsale/item/374856372,Pro,Unknown,2366.67,2300.00
iPhone 11 pro Max,1000,https://www.finn.no/recommerce/forsale/item/374846825,Pro Max,Unknown,2262.44,2000.00
Nesten ikke brukt  kanskje nesten et år gammel snart iPhone 14 lilla 156gb,2500,https://www.finn.no/recommerce/forsale/item/374834280,Regular,128GB,2500.00,2500.00
iPhone 12 64 GB Svart,2500,https://www.finn.no/recommerce/forsale/item/374825974,Regular,64GB,2477.22,2500.00
iPhone 12 64GB Black,2500,https://www.finn.no/recommerce/forsale/item/374810749,Regular,64GB,2477.22,2500.00
iPhone 12  - 64 GB,2400,https://www.finn.no/recommerce/forsale/item/374803850,Regular,64GB,2477.22,2500.00
iPhone 11 pro 64GB,1600,https://www.finn.no/recommerce/forsale/item/374797559,Pro,64GB,2077.67,2499.00
iPhone 14 pro,2000,https://www.finn.no/recommerce/forsale/item/374795245,Pro,Unknown,7482.00,7450.00
iPhone 11,1000,https://www.finn.no/recommerce/forsale/item/374793305,Regular,Unknown,2029.98,2000.00
iPhone 12 64GB Black,1800,https://www.finn.no/recommerce/forsale/item/374766242,Regular,64GB,2477.22,2500.00
iPhone 11 64gb,1600,https://www.finn.no/recommerce/forsale/item/374732511,Regular,64GB,1890.70,1950.00
iPhone 11pro 64gig,2500,https://www.finn.no/recommerce/forsale/item/374714091,Pro,Unknown,2366.67,2300.00
iPhone 12 256GB,2499,https://www.finn.no/recommerce/forsale/item/374705005,Regular,256GB,3749.50,3749.50
iPhone 11 Pro 64 GB,2000,https://www.finn.no/recommerce/forsale/item/374692773,Pro,64GB,2077.67,2499.00
iPhone 13,1000,https://www.finn.no/recommerce/forsale/item/374692207,Regular,Unknown,4788.55,5000.00
iPhone 11 pro Max 64GB,1950,https://www.finn.no/recommerce/forsale/item/374696203,Pro Max,64GB,3190.00,2000.00
iPhone 12 pro 128GB,2000,https://www.finn.no/recommerce/forsale/item/374690341,Pro,128GB,5474.88,5500.00
iPhone 12,2500,https://www.finn.no/recommerce/forsale/item/374691231,Regular,Unknown,2613.59,2500.00
iPhone 12,2500,https://www.finn.no/recommerce/forsale/item/363857085,Regular,Unknown,2613.59,2500.00
iPhone 11. 64GB,2000,https://www.finn.no/recommerce/forsale/item/374665608,Regular,64GB,2000.00,2000.00
iPhone 11 gul 65 GB som Ny,1950,https://www.finn.no/recommerce/forsale/item/374656683,Regular,64GB,1890.70,1950.00
iPhone 11 Black 128GB ingen riper,2000,https://www.finn.no/recommerce/forsale/item/374645877,Regular,128GB,2166.62,2000.00
iPhone 11 pro,1750,https://www.finn.no/recommerce/forsale/item/371899513,Pro,Unknown,1964.12,2000.00
iPhone 11 pro max,2000,https://www.finn.no/recommerce/forsale/item/374637431,Pro Max,Unknown,2262.44,2000.00
