title,price,link,category,storage
iPhone 12 64 GB Svart,2 500 kr,https://www.finn.no/recommerce/forsale/item/374825974,Regular,64GB
iPhone 12 mini 128GB,2 000 kr,https://www.finn.no/recommerce/forsale/item/374820262,Regular,128GB
iPhone 12 64GB Black,2 500 kr,https://www.finn.no/recommerce/forsale/item/374810749,Regular,64GB
iPhone 12 selges Billig,800 kr,https://www.finn.no/recommerce/forsale/item/374812044,Regular,Unknown
iPhone 12  - 64 GB,2 500 kr,https://www.finn.no/recommerce/forsale/item/374803850,Regular,64GB
iPhone 11 pro 64GB,1 600 kr,https://www.finn.no/recommerce/forsale/item/374797559,Regular,64GB
iPhone 14 pro,2 000 kr,https://www.finn.no/recommerce/forsale/item/374795245,Regular,Unknown
iPhone 11,1 000 kr,https://www.finn.no/recommerce/forsale/item/374793305,Regular,Unknown
iPhone 12 64GB Black,1 800 kr,https://www.finn.no/recommerce/forsale/item/374766242,Regular,64GB
iPhone 11 pro,1 500 kr,https://www.finn.no/recommerce/forsale/item/374764440,Regular,Unknown
iPhone 11 64gb,1 600 kr,https://www.finn.no/recommerce/forsale/item/374732511,Regular,64GB
Selger en iPhone 12 mini,2 000 kr,https://www.finn.no/recommerce/forsale/item/374719011,Regular,Unknown
iPhone 11pro 64gig,2 500 kr,https://www.finn.no/recommerce/forsale/item/374714091,Regular,Unknown
iPhone 12 256GB,2 499 kr,https://www.finn.no/recommerce/forsale/item/374705005,Regular,256GB
iPhone 11 Pro 64 GB,2 000 kr,https://www.finn.no/recommerce/forsale/item/374692773,Pro,64GB
iPhone 13,1 000 kr,https://www.finn.no/recommerce/forsale/item/374692207,Regular,Unknown
iPhone 11 pro Max 64GB,1 950 kr,https://www.finn.no/recommerce/forsale/item/374696203,Regular,64GB
iPhone 12 pro 128GB,2 000 kr,https://www.finn.no/recommerce/forsale/item/374690341,Regular,128GB
iPhone 12,2 500 kr,https://www.finn.no/recommerce/forsale/item/374691231,Regular,Unknown
iPhone 12,2 500 kr,https://www.finn.no/recommerce/forsale/item/363857085,Regular,Unknown
iPhone 11. 64GB,2 000 kr,https://www.finn.no/recommerce/forsale/item/374665608,Regular,64GB
iPhone 11 gul 65 GB som Ny,1 950 kr,https://www.finn.no/recommerce/forsale/item/374656683,Regular,65GB
iPhone 12 128GB,2 250 kr,https://www.finn.no/recommerce/forsale/item/374645993,Regular,128GB
iPhone 11 Black 128GB ingen riper,2 000 kr,https://www.finn.no/recommerce/forsale/item/374645877,Regular,128GB
iPhone 11 pro,1 750 kr,https://www.finn.no/recommerce/forsale/item/371899513,Regular,Unknown
iPhone 11 pro max,2 000 kr,https://www.finn.no/recommerce/forsale/item/374637431,Regular,Unknown
iPhone 11,1 500 kr,https://www.finn.no/recommerce/forsale/item/374627458,Regular,Unknown
iPhone 13 Mini 128gb,1 200 kr,https://www.finn.no/recommerce/forsale/item/374618380,Regular,128GB
iPhone 11 Pro,1 500 kr,https://www.finn.no/recommerce/forsale/item/374614959,Pro,Unknown
